student_id,question_id,correct
0,56,1
0,57,1
0,58,0
0,59,1
0,60,1
0,61,1
0,62,1
0,63,1
0,64,1
0,65,0
0,66,1
0,67,1
0,68,1
0,69,1
1,75,0
1,76,1
1,77,1
2,159,1
2,160,1
2,161,1
2,162,1
2,163,0
2,164,1
2,165,0
2,166,1
2,167,1
2,168,1
2,169,0
2,170,1
2,171,1
2,172,0
2,173,1
2,174,0
2,175,0
2,176,1
2,177,0
2,178,0
2,179,0
2,180,1
3,191,1
3,192,0
3,193,1
3,194,0
3,195,0
3,196,1
4,221,1
4,222,0
4,223,0
4,224,1
4,225,0
4,226,0
4,227,1
4,228,1
4,229,0
4,230,0
5,237,1
5,238,1
5,239,1
6,269,1
6,270,1
6,271,1
6,272,1
6,273,1
6,274,1
6,275,0
6,276,1
6,277,1
6,278,0
6,279,1
6,280,1
6,281,0
6,282,1
7,294,0
7,295,1
7,296,1
7,297,1
7,298,1
7,299,1
8,318,1
8,319,1
8,320,1
8,321,1
8,322,1
8,323,0
8,324,1
8,325,1
8,326,1
8,327,1
8,328,1
9,337,1
9,338,1
9,339,1
9,340,1
9,341,1
9,342,1
9,343,1
10,357,1
10,358,1
10,359,1
10,360,1
10,361,1
10,362,1
10,363,1
10,364,1
11,369,1
11,370,0
11,371,1
11,372,1
11,373,1
11,374,1
11,375,1
11,376,0
11,377,1
11,378,1
12,382,1
12,383,1
12,384,1
12,385,1
12,386,1
12,387,1
13,397,0
13,398,1
13,399,1
13,400,0
13,401,0
13,402,1
13,403,1
13,404,0
13,405,1
13,406,1
13,407,1
13,408,1
13,409,0
13,410,1
13,411,1
14,414,0
14,415,1
14,416,1
14,417,1
14,418,1
15,425,1
15,426,1
15,427,1
15,428,1
15,429,0
15,430,0
15,431,0
15,432,0
15,433,1
16,444,0
16,445,1
16,446,0
16,447,1
16,448,1
16,449,0
16,450,1
16,451,0
16,452,1
16,453,0
16,454,1
16,455,0
16,456,1
16,457,0
16,458,1
16,459,1
17,460,1
17,461,1
17,462,1
17,463,1
17,464,1
17,465,0
17,466,1
17,467,1
17,468,0
17,469,1
17,470,0
17,471,1
17,472,0
17,473,1
18,479,1
18,480,1
18,481,0
18,482,1
18,483,1
18,484,1
18,485,1
18,486,1
19,498,1
19,499,1
19,500,1
19,501,1
19,502,0
19,503,1
19,504,1
19,505,1
19,506,1
19,507,0
19,508,1
19,509,1
19,510,1
19,511,0
19,512,1
19,513,0
19,514,0
19,515,0
19,516,0
19,517,0
19,518,1
20,520,1
20,521,1
20,522,1
20,523,0
20,524,1
20,525,0
20,526,0
20,527,1
20,528,1
20,529,0
20,530,1
20,531,1
20,532,1
21,385,0
21,533,1
21,534,1
21,535,1
22,558,1
22,559,0
22,560,1
22,561,1
22,562,0
22,563,1
22,564,1
22,565,0
22,566,1
22,567,1
22,568,1
22,569,1
22,570,1
22,571,1
22,572,1
22,573,1
22,574,0
22,575,1
22,576,0
22,577,1
22,578,1
22,579,0
22,580,1
22,581,1
22,582,0
22,583,0
22,584,0
23,533,1
23,567,1
23,585,1
23,586,1
23,587,1
23,588,0
23,589,1
23,590,1
24,571,1
24,589,1
24,591,1
24,592,1
24,593,1
24,594,0
24,595,1
24,596,1
24,597,1
24,598,1
24,599,1
24,600,1
24,601,0
24,602,1
24,603,1
24,604,1
24,605,1
24,606,0
24,607,1
24,608,1
24,609,1
24,610,1
24,611,1
24,612,1
24,613,1
25,529,0
25,531,1
25,540,0
25,547,1
25,548,0
25,557,1
25,589,0
25,592,1
25,598,1
25,602,0
25,614,0
25,615,1
25,616,1
25,617,1
25,618,1
25,619,0
25,620,1
25,621,1
25,622,1
26,460,0
26,472,0
26,484,0
26,532,1
26,540,0
26,567,1
26,571,1
26,572,1
26,585,1
26,623,1
26,624,0
26,625,0
26,626,1
26,627,0
26,628,0
26,629,1
26,630,1
26,631,0
27,605,1
27,614,1
27,620,0
27,632,1
27,633,1
27,634,1
27,635,1
27,636,0
27,637,1
27,638,1
27,639,1
27,640,1
27,641,0
27,642,1
28,639,0
28,643,1
28,644,1
28,645,1
28,646,1
28,647,1
28,648,1
28,649,1
28,650,0
28,651,1
28,652,0
28,653,1
28,654,1
28,655,0
28,656,0
28,657,1
28,658,1
29,483,1
29,521,1
29,528,1
29,629,0
29,659,1
29,660,0
29,661,1
30,621,0
30,622,1
30,632,1
30,633,0
30,636,0
30,658,1
30,662,1
30,663,1
30,664,1
30,665,1
30,666,0
30,667,0
30,668,0
30,669,0
31,522,1
31,541,1
31,566,1
31,595,1
31,596,1
31,618,0
31,629,1
31,658,1
31,663,1
31,670,0
